Year,State,StateCode,Population
2018,Australian Capital Territory,ACT,426081
2018,New South Wales,NSW,7954476
2018,Queensland,QLD,5006623
2018,Victoria,VIC,6423038
2018,South Australia,SA,1746137
2018,Western Australia,WA,2617792
2018,Tasmania,TAS,537291
2018,Northern Territory,NT,247095
2019,Australian Capital Territory,ACT,435730
2019,New South Wales,NSW,8046748
2019,Queensland,QLD,5088847
2019,Victoria,VIC,6537305
2019,South Australia,SA,1767395
2019,Western Australia,WA,2659625
2019,Tasmania,TAS,547841
2019,Northern Territory,NT,246559
2020,Australian Capital Territory,ACT,444903
2020,New South Wales,NSW,8110610
2020,Queensland,QLD,5165613
2020,Victoria,VIC,6615046
2020,South Australia,SA,1790355
2020,Western Australia,WA,2712912
2020,Tasmania,TAS,557578
2020,Northern Territory,NT,247428
2021,Australian Capital Territory,ACT,452508
2021,New South Wales,NSW,8097062
2021,Queensland,QLD,5215814
2021,Victoria,VIC,6547822
2021,South Australia,SA,1802601
2021,Western Australia,WA,2749365
2021,Tasmania,TAS,567239
2021,Northern Territory,NT,248151
2022,Australian Capital Territory,ACT,456915
2022,New South Wales,NSW,8166704
2022,Queensland,QLD,5320941
2022,Victoria,VIC,6630631
2022,South Australia,SA,1821215
2022,Western Australia,WA,2791794
2022,Tasmania,TAS,571051
2022,Northern Territory,NT,250228
2023,Australian Capital Territory,ACT,466566
2023,New South Wales,NSW,8342285
2023,Queensland,QLD,5460420
2023,Victoria,VIC,6815441
2023,South Australia,SA,1852284
2023,Western Australia,WA,2881227
2023,Tasmania,TAS,573156
2023,Northern Territory,NT,252529
